Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event
1620,4/7/21,FURIA,SKADE,Brazil,Bulgaria,Mirage,16,2,Elisa Invitational Summer 2021
1621,4/7/21,SKADE,FURIA,Bulgaria,Brazil,Inferno,16,4,Elisa Invitational Summer 2021
1622,4/7/21,FURIA,SKADE,Brazil,Bulgaria,Overpass,19,15,Elisa Invitational Summer 2021
1623,4/7/21,Young Ninjas,TeamOne,Sweden,Brazil,Nuke,16,11,Pinnacle Cup II
1624,4/7/21,TeamOne,Young Ninjas,Brazil,Sweden,Inferno,13,16,Pinnacle Cup II
1625,4/7/21,Gambit,Natus Vincere,Russia,Russia,Inferno,13,16,StarLadder CIS RMR 2021
1626,4/7/21,Natus Vincere,Gambit,Russia,Russia,Mirage,16,11,StarLadder CIS RMR 2021
1627,4/7/21,Gambit,Natus Vincere,Russia,Russia,Dust2,9,16,StarLadder CIS RMR 2021
1628,4/7/21,Natus Vincere,Gambit,Russia,Russia,Ancient,7,16,StarLadder CIS RMR 2021
1629,4/7/21,Endpoint,FURIA,United Kingdom,Brazil,Mirage,10,16,Elisa Invitational Summer 2021
1630,4/7/21,Endpoint,FURIA,United Kingdom,Brazil,Ancient,12,16,Elisa Invitational Summer 2021
1631,4/7/21,FURIA,Endpoint,Brazil,United Kingdom,Overpass,10,16,Elisa Invitational Summer 2021
1632,4/7/21,DBL PONEY,AGO,France,Poland,Ancient,16,14,Pinnacle Cup II
1633,4/7/21,AGO,DBL PONEY,Poland,France,Vertigo,11,16,Pinnacle Cup II
1634,4/7/21,Natus Vincere,Spirit,Russia,Russia,Inferno,16,9,StarLadder CIS RMR 2021
1635,4/7/21,Natus Vincere,Spirit,Russia,Russia,Dust2,9,16,StarLadder CIS RMR 2021
1636,4/7/21,Spirit,Natus Vincere,Russia,Russia,Mirage,5,16,StarLadder CIS RMR 2021
1637,4/7/21,HAVU,Copenhagen Flames,Finland,Denmark,Nuke,16,13,Pinnacle Cup II
1638,4/7/21,Copenhagen Flames,HAVU,Denmark,Finland,Mirage,12,16,Pinnacle Cup II
1639,4/7/21,SKADE,Entropiq,Bulgaria,Russia,Dust2,16,11,Elisa Invitational Summer 2021
1640,4/7/21,Entropiq,SKADE,Russia,Bulgaria,Vertigo,14,16,Elisa Invitational Summer 2021
1641,3/7/21,O PLANO,Extra Salt,Brazil,North America,Overpass,12,16,DreamHack Open June 2021 North America
1642,3/7/21,O PLANO,Extra Salt,Brazil,North America,Dust2,9,16,DreamHack Open June 2021 North America
1643,3/7/21,O PLANO,Extra Salt,Brazil,North America,Vertigo,2,16,DreamHack Open June 2021 North America
1644,3/7/21,ENCE,Endpoint,Europe,United Kingdom,Vertigo,12,16,Elisa Invitational Summer 2021
1645,3/7/21,Endpoint,ENCE,United Kingdom,Europe,Mirage,14,16,Elisa Invitational Summer 2021
1646,3/7/21,ENCE,Endpoint,Europe,United Kingdom,Overpass,14,16,Elisa Invitational Summer 2021
1647,3/7/21,Natus Vincere,Gambit,Russia,Russia,Mirage,15,19,StarLadder CIS RMR 2021
1648,3/7/21,Gambit,Natus Vincere,Russia,Russia,Inferno,16,12,StarLadder CIS RMR 2021
1649,3/7/21,Natus Vincere,Gambit,Russia,Russia,Dust2,16,8,StarLadder CIS RMR 2021
1650,3/7/21,777,FURIA,Norway,Brazil,Nuke,5,16,Elisa Invitational Summer 2021
1651,3/7/21,FURIA,777,Brazil,Norway,Overpass,16,13,Elisa Invitational Summer 2021
1652,3/7/21,Spirit,K23,Russia,Kazakhstan,Mirage,16,14,StarLadder CIS RMR 2021
1653,3/7/21,Spirit,K23,Russia,Kazakhstan,Dust2,16,10,StarLadder CIS RMR 2021
1654,3/7/21,Spirit,K23,Russia,Kazakhstan,Inferno,8,16,StarLadder CIS RMR 2021
1655,3/7/21,forZe,Entropiq,Russia,Russia,Overpass,16,5,StarLadder CIS RMR 2021
1656,3/7/21,Entropiq,forZe,Russia,Russia,Ancient,12,16,StarLadder CIS RMR 2021
